City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
1262,Lompoc,34.6391,-120.4579,78.94,52,0,9.22,US,clear sky
1263,Shancheng,34.7953,116.0817,32.61,66,98,4.32,CN,overcast clouds
1264,Along,28.1667,94.7667,48.34,88,78,1.36,IN,broken clouds
1265,Ossora,59.2353,163.0719,7.47,95,100,7.61,RU,light snow
1266,Bluff,-46.6,168.3333,60.8,80,95,9.08,NZ,overcast clouds
1267,Tomigusuku,26.185,127.675,62.37,82,40,8.05,JP,scattered clouds
1268,Tsabong,-26.0217,22.401,79.88,44,83,7.23,BW,broken clouds
1269,Lavrentiya,65.5833,-171.0,-22.81,93,47,11.72,RU,scattered clouds
1270,Banda Aceh,5.5577,95.3222,77.9,81,83,3.87,ID,broken clouds
1271,Bandarbeyla,9.4942,50.8122,75.7,67,67,17.94,SO,broken clouds
1272,Byron Bay,-28.65,153.6167,81.05,66,12,4.38,AU,few clouds
1273,Salinopolis,-0.6136,-47.3561,78.67,85,94,7.43,BR,overcast clouds
1274,Wattegama,6.7989,81.4808,71.02,77,99,5.48,LK,overcast clouds
1275,Saint-Philippe,-21.3585,55.7679,76.55,87,82,8.63,RE,broken clouds
1276,Safranbolu,41.2508,32.6942,37.17,99,100,4.14,TR,light rain
1277,Lerwick,60.1545,-1.1494,41.0,78,98,33.22,GB,overcast clouds
1278,Santa Cruz Del Sur,20.7147,-77.9956,78.75,69,32,5.66,CU,light rain
1279,Ayorou,14.7308,0.9174,74.05,11,0,10.22,NE,clear sky
1280,Pochutla,15.7432,-96.4661,79.65,59,48,5.75,MX,scattered clouds
1281,Pevek,69.7008,170.3133,-31.83,100,48,4.79,RU,scattered clouds
1282,Alofi,-19.0595,-169.9187,76.89,89,100,3.44,NU,light intensity drizzle
1283,Celestun,20.8667,-90.4,69.49,79,100,18.97,MX,overcast clouds
1284,Chernyshevskiy,63.0128,112.4714,-27.29,100,93,2.93,RU,overcast clouds
1285,Wanaka,-44.7,169.15,65.1,76,100,2.33,NZ,light rain
1286,Geraldton,-28.7667,114.6,64.81,82,0,12.66,AU,clear sky
1287,San Patricio,28.017,-97.5169,68.68,27,0,1.77,US,clear sky
1288,Waw,7.7029,27.9953,74.26,20,100,4.56,SS,overcast clouds
1289,Moron,-34.6534,-58.6198,73.0,67,0,7.43,AR,clear sky
1290,Dire,12.2833,-10.9667,77.31,11,44,2.15,ML,scattered clouds
1291,Okha,53.5739,142.9478,16.38,93,100,17.83,RU,light snow
1292,Mazamari,-11.3258,-74.5308,73.92,96,76,1.25,PE,broken clouds
1293,Wladyslawowo,54.7909,18.4009,40.93,78,5,24.32,PL,clear sky
1294,Rawson,-43.3002,-65.1023,64.56,54,67,20.29,AR,broken clouds
1295,Komsomolskiy,40.4272,71.7189,38.12,75,40,9.22,UZ,scattered clouds
1296,Neokhorion,41.1833,23.25,43.65,78,3,5.14,GR,clear sky
1297,Matiri,-10.75,34.9,61.2,94,83,1.72,TZ,light rain
1298,Filadelfia,39.9523,-75.1638,37.06,55,0,11.5,US,clear sky
1299,Poitiers,46.5833,0.3333,41.79,51,0,3.44,FR,clear sky
1300,High Rock,26.6208,-78.2833,73.42,71,28,1.86,BS,scattered clouds
1301,Bima,-8.4667,118.7167,77.61,91,96,0.65,ID,overcast clouds
1302,Wabag,-5.4781,143.7021,61.61,86,98,1.23,PG,overcast clouds
1303,Laguna,38.421,-121.4238,75.65,45,0,4.61,US,clear sky
1304,Mlonggo,-6.5333,110.7,76.89,87,100,6.02,ID,overcast clouds
1305,Tolbazy,54.0241,55.8825,5.76,96,100,4.0,RU,light snow
1306,Khandagayty,50.7333,92.05,-12.32,99,100,0.94,RU,overcast clouds
1307,Victoria,22.2855,114.1577,61.32,82,100,7.0,HK,overcast clouds
1308,Sao Filipe,14.8961,-24.4956,72.41,74,2,2.68,CV,clear sky
1309,Acarau,-2.8856,-40.12,80.42,78,12,13.85,BR,few clouds
1310,Christchurch,-43.5333,172.6333,66.33,86,75,10.36,NZ,broken clouds
1311,Tabory,58.5198,64.5495,4.06,98,68,5.12,RU,broken clouds
1312,Hamilton,39.1834,-84.5333,44.55,61,0,6.91,US,clear sky
1313,Nizwa,22.9333,57.5333,59.34,50,0,2.59,OM,clear sky
1314,Mercedes,-34.6515,-59.4307,72.84,52,0,7.63,AR,clear sky
1315,Taylorville,39.5489,-89.2945,46.29,65,0,16.11,US,clear sky
1316,Atocha,-20.9333,-66.2333,54.23,62,54,8.21,BO,broken clouds
1317,Jieshi,22.8134,115.8257,55.94,82,99,13.62,CN,overcast clouds
1318,Ellensburg,46.9965,-120.5479,50.77,58,0,10.36,US,clear sky
1319,Kabelvag,68.2114,14.4817,35.53,69,100,24.83,NO,overcast clouds
1320,Bathsheba,13.2167,-59.5167,75.81,69,40,9.22,BB,scattered clouds
1321,Bonthe,7.5264,-12.505,77.95,84,63,5.32,SL,broken clouds
1322,Juegang,32.3174,121.1855,39.9,72,78,5.14,CN,broken clouds
1323,Guastatoya,14.8539,-90.0647,79.3,73,83,4.32,GT,broken clouds
1324,Sungairaya,0.7,108.9,75.56,90,94,3.09,ID,moderate rain
1325,Port Hardy,50.6996,-127.4199,45.75,93,100,11.5,CA,mist
1326,Chokurdakh,70.6333,147.9167,-43.78,100,97,5.66,RU,overcast clouds
1327,Muros,42.7762,-9.0603,54.23,82,3,5.84,ES,clear sky
1328,Nieuw Amsterdam,5.8833,-55.0833,80.62,81,20,5.75,SR,few clouds
1329,Nuevo San Juan,9.2233,-79.6619,85.6,72,37,6.26,PA,scattered clouds
1330,Astorga,-23.2325,-51.6656,81.0,72,0,3.24,BR,clear sky
1331,Sisimiut,66.9395,-53.6735,-3.26,78,100,20.09,GL,overcast clouds
1332,Montepuez,-13.1256,38.9997,69.53,98,97,2.77,MZ,overcast clouds
1333,Bloomfield,40.8068,-74.1854,37.65,62,0,10.36,US,clear sky
1334,Yar-Sale,66.8333,70.8333,-0.15,91,97,15.64,RU,overcast clouds
1335,Najran,17.4924,44.1277,52.45,37,1,2.39,SA,clear sky
1336,Aquiraz,-3.9014,-38.3911,82.49,77,12,10.16,BR,few clouds
1337,Kodiak,57.79,-152.4072,26.11,54,0,17.27,US,clear sky
1338,Port Lincoln,-34.7333,135.8667,66.51,69,100,10.38,AU,overcast clouds
1339,Kruisfontein,-34.0033,24.7314,66.25,61,58,7.83,ZA,broken clouds
1340,Maniitsoq,65.4167,-52.9,-1.19,89,100,21.43,GL,overcast clouds
1341,Lluta,-16.0147,-72.0142,55.67,61,100,7.38,PE,overcast clouds
1342,Husavik,66.0449,-17.3389,28.31,95,100,23.11,IS,snow
1343,Lac Du Bonnet,50.2536,-96.0612,30.4,97,100,13.33,CA,snow
1344,Imeni Zhelyabova,58.9544,36.5956,25.75,97,96,4.7,RU,overcast clouds
1345,Eureka,40.8021,-124.1637,66.13,72,0,5.01,US,clear sky
1346,Salalah,17.0151,54.0924,71.69,18,0,10.36,OM,clear sky
1347,Outram,1.2829,103.8379,78.73,86,75,5.75,MY,broken clouds
1348,Georgetown,5.4112,100.3354,77.9,94,20,2.3,MY,few clouds
1349,Sioux Lookout,50.1001,-91.917,26.98,93,100,8.05,CA,overcast clouds
1350,Saint Andrews,34.0454,-81.1293,49.73,69,40,0.0,US,scattered clouds
1351,Kloulklubed,7.0419,134.2556,79.3,82,97,18.32,PW,overcast clouds
1352,Mount Isa,-20.7333,139.5,83.97,61,3,4.61,AU,clear sky
1353,Weligama,5.9667,80.4167,76.14,78,99,2.71,LK,overcast clouds
1354,Dingle,10.9995,122.6711,74.8,87,93,10.85,PH,overcast clouds
1355,Flin Flon,54.7682,-101.865,17.44,79,100,14.97,CA,overcast clouds
1356,Udachnyy,66.4167,112.4,-17.55,75,87,3.8,RU,overcast clouds
1357,Erzin,36.9559,36.2,48.72,85,55,8.21,TR,broken clouds
1358,Kumluca,36.3703,30.2869,52.68,88,98,14.0,TR,overcast clouds
1359,Mega,4.05,38.3,63.81,36,40,15.39,ET,scattered clouds
1360,Belyy Yar,53.6039,91.3903,-7.71,77,0,0.0,RU,clear sky
1361,Ambilobe,-13.2,49.05,74.41,94,92,3.18,MG,overcast clouds
1362,Staritsa,56.5075,34.9354,22.37,97,96,5.01,RU,overcast clouds
1363,Hovd,48.0056,91.6419,-12.98,79,21,2.64,MN,few clouds
1364,Hervey Bay,-25.2986,152.8535,80.04,63,37,7.0,AU,scattered clouds
1365,Opuwo,-18.0607,13.84,68.38,59,44,7.49,NA,scattered clouds
1366,Lata,40.1629,-8.3327,51.71,67,0,4.63,PT,clear sky
1367,Ponta Do Sol,32.6667,-17.1,65.03,48,40,10.4,PT,scattered clouds
1368,Cockburn Town,21.4612,-71.1419,77.74,77,1,16.8,TC,clear sky
1369,Pacific Grove,36.6177,-121.9166,76.68,57,0,8.99,US,clear sky
1370,Okhotsk,59.3833,143.3,5.85,82,100,9.78,RU,overcast clouds
1371,Fare,-16.7,-151.0167,81.84,75,68,19.26,PF,broken clouds
1372,Bahua,25.85,80.6333,55.51,76,2,7.74,IN,clear sky
1373,La Orilla,17.9833,-102.2333,80.26,62,2,7.67,MX,clear sky
1374,Logan Lake,50.4998,-120.8025,37.4,93,99,4.83,CA,overcast clouds
1375,Nago,26.5881,127.9761,64.56,78,69,9.31,JP,broken clouds
1376,Hay River,60.8156,-115.7999,-9.42,70,75,8.05,CA,broken clouds
1377,Campina Verde,-19.5356,-49.4864,72.37,85,99,2.17,BR,overcast clouds
1378,Indiana,40.0003,-86.2503,44.19,61,0,14.97,US,clear sky
1379,Lebu,-37.6167,-73.65,61.5,82,16,17.78,CL,few clouds
1380,Slave Lake,55.2834,-114.769,40.98,56,75,21.85,CA,broken clouds
1381,Soimi,46.6833,22.1167,37.2,97,91,6.15,RO,overcast clouds
1382,Ghotki,28.006,69.3161,57.06,58,1,5.46,PK,clear sky
1383,Yinchuan,38.4681,106.2731,14.5,81,29,2.53,CN,scattered clouds
1384,Payakumbuh,-0.2202,100.6308,69.3,97,100,2.44,ID,overcast clouds
1385,Usinsk,65.9939,57.5281,6.37,84,23,16.53,RU,few clouds
1386,Tuskegee,32.424,-85.6916,57.02,55,1,3.96,US,clear sky
1387,Kazachinskoye,57.6953,93.2761,-17.41,98,15,3.38,RU,few clouds
1388,Aksu,41.1231,80.2644,27.93,56,100,2.19,CN,overcast clouds
1389,Qaqortoq,60.7167,-46.0333,1.9,75,5,6.46,GL,clear sky
1390,Cedar City,37.6775,-113.0619,52.77,17,0,13.8,US,clear sky
1391,Torbay,47.6666,-52.7314,30.58,86,100,17.27,CA,overcast clouds
1392,Loei,17.4167,101.5,63.12,52,98,1.19,TH,overcast clouds
1393,Tamandare,-8.7597,-35.1047,79.99,74,0,10.22,BR,clear sky
1394,Sesheke,-17.4759,24.2968,65.61,88,45,3.74,ZM,scattered clouds
1395,Norman Wells,65.282,-126.8329,-25.56,62,75,2.3,CA,broken clouds
1396,Vostok,46.4856,135.8833,-2.88,99,98,3.33,RU,overcast clouds
1397,Alakurtti,66.9672,30.3491,9.54,98,98,2.84,RU,overcast clouds
1398,Cherskiy,68.75,161.3,-42.38,99,83,4.07,RU,broken clouds
1399,Nakhon Phanom,17.3333,104.4167,66.02,89,51,5.75,TH,broken clouds
1400,Belaya Gora,68.5333,146.4167,-50.03,100,85,4.18,RU,overcast clouds
1401,Flinders,-34.5833,150.8552,80.38,64,0,5.99,AU,clear sky
1402,Ramgarh,23.6333,85.5167,58.77,50,1,1.79,IN,clear sky
1403,Balaipungut,1.05,101.2833,75.61,97,99,1.16,ID,overcast clouds
1404,Galle,6.0367,80.217,78.13,75,100,2.8,LK,overcast clouds
1405,Fougamou,-1.2154,10.5838,73.33,96,39,1.28,GA,scattered clouds
1406,Novobureyskiy,49.798,129.8774,-2.13,97,100,3.29,RU,overcast clouds
1407,Hofn,64.2539,-15.2082,28.89,63,88,16.71,IS,overcast clouds
1408,Naryan-Mar,67.6713,53.087,7.72,92,89,15.57,RU,overcast clouds
1409,Clacton-On-Sea,51.7897,1.156,51.1,82,78,17.16,GB,broken clouds
1410,Bowen,-20.0167,148.2333,80.82,68,3,5.53,AU,clear sky
1411,Jiaojiang,28.6803,121.4428,44.01,84,100,4.34,CN,overcast clouds
1412,Sembe,1.6481,14.5806,73.78,32,87,2.19,CG,overcast clouds
1413,Podor,16.6527,-14.9587,76.95,29,0,2.3,MR,clear sky
1414,Midland,31.9974,-102.0779,65.75,15,0,17.27,US,clear sky
1415,Cayenne,4.9333,-52.3333,80.1,83,20,3.44,GF,few clouds
1416,Salcininkai,54.3,25.3833,37.49,90,100,14.47,LT,overcast clouds
1417,Rumonge,-3.9736,29.4386,70.99,82,76,3.0,BI,light rain
1418,Phek,25.6667,94.5,34.97,98,38,1.54,IN,scattered clouds
1419,Yaan,7.3833,8.5667,82.62,14,52,3.29,NG,broken clouds
1420,Severodvinsk,64.5635,39.8302,19.51,94,98,9.4,RU,overcast clouds
1421,Katobu,-4.9408,122.5276,76.62,91,94,0.74,ID,overcast clouds
1422,Bijar,35.8668,47.6051,12.67,78,16,6.22,IR,few clouds
1423,Nsoko,-27.0333,31.95,67.28,95,0,2.55,SZ,clear sky
1424,Talcahuano,-36.7167,-73.1167,69.48,68,0,20.71,CL,clear sky
1425,Olinda,-8.0089,-34.8553,82.13,69,40,8.05,BR,scattered clouds
1426,Shache,38.4167,77.2406,27.88,50,100,5.57,CN,overcast clouds
1427,Wausau,44.9591,-89.6301,37.02,65,100,1.99,US,overcast clouds
1428,Guarapari,-20.6667,-40.4975,80.49,92,55,11.1,BR,broken clouds
1429,Adrar,20.5022,-10.0711,66.99,11,76,10.56,MR,broken clouds
1430,Brasilia,-15.7797,-47.9297,79.72,65,75,2.3,BR,broken clouds
1431,Labrea,-7.2586,-64.7981,75.18,97,100,1.83,BR,overcast clouds
1432,Ilheus,-14.7889,-39.0494,84.02,79,40,9.22,BR,scattered clouds
1433,La Ronge,55.1001,-105.2842,16.05,67,75,12.66,CA,broken clouds
1434,Yasnyy,51.0333,59.8742,10.74,96,98,5.37,RU,overcast clouds
1435,Eyl,7.9803,49.8164,72.91,72,55,14.85,SO,broken clouds
1436,Coahuayana,18.7333,-103.6833,87.28,53,0,7.07,MX,clear sky
1437,Fort Nelson,58.8053,-122.7002,4.59,78,75,3.44,CA,broken clouds
1438,Hutang,31.5333,119.4833,37.53,86,100,5.82,CN,overcast clouds
1439,Touros,-5.1989,-35.4608,81.5,70,4,15.48,BR,clear sky
1440,Mananara,-16.1667,49.7667,74.95,92,99,3.29,MG,overcast clouds
1441,Camacha,33.0833,-16.3333,62.02,77,20,11.5,PT,few clouds
1442,Saint-Francois,46.4154,3.9054,33.67,92,0,0.0,FR,clear sky
1443,Gazli,40.1333,63.45,37.18,55,8,3.2,UZ,clear sky
1444,Sanming,26.2486,117.6186,47.14,97,99,0.47,CN,overcast clouds
1445,Vanimo,-2.6741,141.3028,80.4,84,82,3.6,PG,broken clouds
1446,Kutum,14.2,24.6667,56.41,17,1,6.93,SD,clear sky
1447,Sorong,-0.8833,131.25,79.29,83,100,4.81,ID,overcast clouds
1448,Cimislia,46.52,28.7842,32.65,85,37,7.61,MD,scattered clouds
1449,Shingu,33.7333,135.9833,38.39,80,100,4.83,JP,overcast clouds
1450,Bengkulu,-3.8004,102.2655,76.51,84,100,5.77,ID,overcast clouds
1451,Itaituba,-4.2761,-55.9836,75.06,97,81,1.92,BR,moderate rain
1452,Marrakesh,31.6315,-8.0083,62.67,39,58,3.44,MA,broken clouds
1453,Los Llanos De Aridane,28.6585,-17.9182,65.95,34,0,8.99,ES,clear sky
1454,Caravelas,-17.7125,-39.2481,78.35,87,98,7.81,BR,overcast clouds
1455,Raposa,-6.5167,-44.1833,76.05,83,98,2.17,BR,overcast clouds
