City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
887,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
890,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
896,Vanimo,PG,80.4,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
908,Poum,NC,81.9,overcast clouds,-20.2333,164.0167,
914,Sinaloa,MX,82.85,clear sky,25.0,-107.5,
949,Kudahuvadhoo,MV,82.29,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
969,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
972,Dhidhdhoo,MV,80.69,broken clouds,6.8833,73.1,Dhidhoo beach
974,Aitape,PG,81.48,broken clouds,-3.1374,142.3475,
990,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
999,Neuquen,AR,87.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
1043,Puntarenas,CR,84.13,few clouds,9.9763,-84.8384,Michael's Surfside Hotel
1056,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
1060,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
1073,Maumere,ID,80.15,moderate rain,-8.6199,122.2111,Sylvia Hotel
1086,Samarai,PG,82.78,scattered clouds,-10.6167,150.6667,Nuli Sapi
1089,Kieta,PG,84.02,light rain,-6.2167,155.6333,Uruna Bay Retreat
